parent_personal_number,child_personal_number
9309448,8313600
9309448,8920671
8784399,3719405
8784399,4956065
8784399,4186231
8784399,3676291
8784399,7023868
7520676,8313600
7520676,8920671
8781308,6364471
4566245,3719405
4566245,4956065
4566245,4186231
4566245,3676291
4566245,7023868
5585906,2427614
5585906,8509974
5585906,5680343
3793255,5224638
3793255,8485020
3793255,7724637
7124822,6364471
8149076,4641275
7675714,2338079
8335427,8144995
8335427,1693443
1654617,4641275
4233260,8767359
4233260,3152565
4233260,1791682
4233260,8364280
4233260,3252972
2364716,2427614
2364716,8509974
2364716,5680343
3151776,2338079
6151404,8144995
6151404,1693443
9829950,9153915
9829950,7922299
1987519,7554905
3112072,8772242
3112072,1344682
3112072,6255898
6510806,5224638
6510806,8485020
6510806,7724637
6090850,8767359
6090850,3152565
6090850,1791682
6090850,8364280
6090850,3252972
4056520,5979061
6279396,7874826
2779147,9153915
2779147,7922299
6658170,6299438
6658170,6777745
6658170,2924312
5625183,7188034
5571319,8203112
8292580,7874826
2238815,6198107
2238815,5581063
9092224,7554905
3970859,6639326
3970859,2978306
5410512,8772242
5410512,1344682
5410512,6255898
9309009,5979061
8849253,1971088
8849253,6754388
8849253,5882577
5805349,2940435
5532987,7188034
9264093,6126091
8835629,4720087
8835629,4036798
8835629,8772338
8835629,7654891
8835629,6877261
9272169,7866911
9272169,3534584
9272169,6245698
9359216,2267966
9359216,3452003
7405182,6299438
7405182,6777745
7405182,2924312
7966229,6198107
7966229,5581063
9517328,3354042
9517328,4531269
9517328,9780316
9517328,9689717
8089908,2107772
8089908,4502760
8089908,5073439
8089908,4997695
1128745,8203112
2706450,1971088
2706450,6754388
2706450,5882577
9469590,6692891
5720167,2216675
5720167,4685819
2868729,6639326
2868729,2978306
8208435,5426984
9018035,5556977
9018035,1525461
7765806,2940435
4871415,6126091
2747497,4023311
2747497,7913572
7317127,7173761
7317127,6884920
7317127,4992122
5497043,3354042
5497043,4531269
5497043,9780316
5497043,9689717
7874806,4570815
7874806,3616377
7874806,3835130
5424937,7913485
5424937,7433628
5926689,7995791
8724277,5704324
8724277,8993175
8724277,7556722
3561486,4725529
3561486,6805051
9151474,5944341
6784255,4720087
6784255,4036798
6784255,8772338
6784255,7654891
6784255,6877261
2032660,7866911
2032660,3534584
2032660,6245698
6796169,2267966
6796169,3452003
2075291,2107772
2075291,4502760
2075291,5073439
2075291,4997695
5093553,2216675
5093553,4685819
1361574,6692891
6255739,5426984
7084286,4023311
7084286,7913572
5886268,5556977
5886268,1525461
6310185,7173761
6310185,6884920
6310185,4992122
5467058,7989314
4708664,4570815
4708664,3616377
4708664,3835130
8194342,7995791
1470618,7913485
1470618,7433628
2096206,9018016
2096206,3661739
9747807,5708283
9747807,9152480
9747807,8937941
5231538,5704324
5231538,8993175
5231538,7556722
8724876,1353225
8724876,6639305
8724876,5682050
1940807,4725529
1940807,6805051
6843072,5944341
6059507,9018016
6059507,3661739
6798247,9312275
6798247,6127376
6613124,4690899
6119260,5073967
6119260,2990355
2084952,1250993
9355736,7989314
4608476,7932988
4608476,1063087
4608476,3350164
4608476,1185835
3116472,2512440
3116472,8364630
3116472,9487047
2718678,5708283
2718678,9152480
2718678,8937941
9562122,1353225
9562122,6639305
9562122,5682050
7781206,4039601
7781206,3519425
2036086,3805580
2036086,3853569
2036086,3020228
2036086,8827405
3196510,3729992
3196510,1081290
3196510,2437280
3648147,4690899
1525383,1438947
9519510,8969055
4259207,2665099
4259207,7994347
6520278,9312275
6520278,6127376
4231206,1250993
9536491,7932988
9536491,1063087
9536491,3350164
9536491,1185835
7179865,5073967
7179865,2990355
3687831,2512440
3687831,8364630
3687831,9487047
7818267,5580362
7818267,6697609
7818267,5955910
5778798,1827694
5189225,3729992
5189225,1081290
5189225,2437280
3571933,1438947
5018694,4039601
5018694,3519425
8843312,8282856
8843312,8562608
8843312,1166181
8843312,1312796
1479995,8873329
1479995,8357146
1479995,8357127
1178215,2665099
