household_id,personal_number
1,9309448
1,7520676
2,8784399
2,4566245
3,5585906
3,2364716
4,3793255
4,6510806
5,1987519
5,9092224
6,3112072
6,5410512
7,4056520
7,9309009
8,4256978
8,1684402
9,6658170
9,7405182
10,2238815
10,7966229
11,3970859
11,2868729
12,5805349
12,7765806
13,9264093
13,4871415
14,8835629
14,6784255
15,9272169
15,2032660
16,9359216
16,6796169
17,8089908
17,2075291
18,5720167
18,5093553
19,8208435
19,6255739
20,2747497
20,7084286
21,7317127
21,6310185
22,5424937
22,1470618
23,3561486
23,1940807
24,4302632
24,1921577
25,5467058
25,9355736
26,9747807
26,2718678
27,8724876
27,9562122
28,6613124
28,3648147
29,2084952
29,4231206
30,4608476
30,9536491
31,3116472
31,3687831
32,3196510
32,5189225
33,1525383
33,3571933
34,4259207
34,1178215
35,7818267
35,2524224
36,1576538
36,8279346
37,8843312
37,8383705
38,1479995
38,8034648
39,9867010
39,1995643
40,1389621
40,9540964
41,6116587
41,4361680
42,6449809
42,9821396
43,2910087
43,2236262
44,2633592
44,4770631
45,9431864
45,7341560
46,8362293
46,3959412
47,7458259
47,4793883
48,3222207
48,5739320
49,8615518
49,5868323
50,1606541
50,7023061
51,5086863
51,5769914
52,4942707
52,7383497
53,6374676
53,3774160
54,2522089
54,2866850
55,9549430
55,7823153
56,8399854
56,8707707
57,7550421
57,3438525
58,3698910
58,6113536
59,2374759
59,3968849
60,7173353
60,6460251
61,1453236
61,3931258
62,4802951
62,1796899
63,2533896
63,2922405
64,3135044
64,5976347
65,4792429
65,6752771
66,7273918
66,6759533
67,5659310
67,6706484
68,7458593
68,7622429
69,1330578
69,2792834
70,3579352
70,3036193
71,6363972
71,3094105
72,4394410
72,7573039
73,1502906
73,6837160
74,9312259
74,4216059
75,5649460
75,1335066
76,1662092
76,3602701
77,5526364
77,5568297
78,6940599
78,7790066
79,2915066
79,7480638
80,1774910
80,9073521
81,5569242
81,3821540
82,8866367
82,3903721
83,8871490
83,6996455
84,8825778
84,2203298
85,2021351
85,5364292
86,4884254
86,9651492
87,7218744
87,9202911
88,8619339
88,3292944
89,9150588
89,8719308
90,9944392
90,9808089
91,5897856
91,2236163
92,7470515
92,3531882
93,9708961
93,6512445
94,5358838
94,8252452
95,3349187
95,1454738
96,6510576
96,2255042
97,6230095
97,1670568
98,4390333
98,5172205
99,5067262
99,4213755
100,9995900
100,6649308
101,5182947
101,5014640
102,3520731
102,1539599
103,3566083
103,9447528
104,5058441
104,8945396
105,6417102
105,4748370
106,7076605
106,4279444
107,4208040
107,9456028
108,2204541
108,5077565
109,9543887
109,3077650
110,9353987
110,4633141
111,1182366
111,6782567
112,8231560
112,9745831
113,2655328
113,1060192
114,1464432
114,7288418
115,8357224
115,5071662
116,3406594
116,8495080
117,2933696
117,8099822
118,3280909
118,4053861
119,7353787
119,9949027
120,8580309
120,4362989
121,1062795
121,2367326
122,6334456
122,2984234
123,1970337
123,5594051
124,8730595
124,4632727
125,1525902
125,1237682
126,2748999
126,1359223
127,6837014
127,6007131
128,4736272
128,1315570
129,9472320
129,4333252
130,1135889
130,8956168
131,8686858
131,2955438
132,8115311
132,2935628
133,2799184
133,9474482
134,2009516
134,3238268
135,4051833
135,5744105
136,6303967
136,2220521
137,7280392
137,6973509
138,5853889
138,2149722
139,2441031
139,4976221
140,3126959
140,5755710
141,6247688
141,2808372
142,5187808
142,5055329
143,3367909
143,9836276
144,7494567
144,5335099
145,5784061
145,4877718
146,2135045
146,9275680
147,2933764
147,3139839
148,1892209
148,6516208
149,3300708
149,5645772
150,5521633
150,2792116
151,1268806
151,1395631
152,3144540
152,8324730
153,3904780
153,6806237
154,3132192
154,2060527
155,5887605
155,4599800
156,5513265
156,9451579
157,3351107
157,1897329
158,1024323
158,1277410
159,7387063
159,5151009
160,4086250
160,8302171
161,3951750
161,9721179
162,2167292
162,5325181
163,2214848
163,8066113
164,8966413
164,9527819
165,6908943
165,5514881
166,3903367
166,6649584
167,8091104
167,3690684
168,3681370
168,4765363
169,2501923
169,6326769
170,6693751
170,3517030
171,7724783
171,1256314
172,9912045
172,7521094
173,5585084
173,1783299
174,3686906
174,3853935
175,7444116
175,3202325
176,7167346
176,4989717
177,9575529
177,9470564
178,9051568
178,6358825
179,7894818
179,6033625
180,6916724
180,1431192
181,4716884
181,4707200
182,1503992
182,7973427
183,1711184
183,7105305
184,7656728
184,6539906
185,8902657
185,8920570
186,5583745
186,4614798
187,1611992
187,7092820
188,3522620
188,4350542
189,1026205
189,5011916
190,3553607
190,6508322
191,6389547
191,8023941
192,3512733
192,2120463
193,2892286
193,6291754
194,6342675
194,5811957
195,7258458
195,6083790
196,4207047
196,4894030
197,1237584
197,2112141
198,1734380
198,9519425
199,7062029
199,3249618
200,1456595
200,5039542
201,7154817
201,9796128
202,9859641
202,6159375
203,1479761
203,1918222
204,5948531
204,1564505
205,9993615
205,9338702
206,7138372
206,2406219
207,2434199
207,2814802
208,9895405
208,7785414
209,6150726
209,6250285
210,9082973
210,2000356
211,5450952
211,1333888
212,9083650
212,3639706
213,9147101
213,2235291
214,8129939
214,5532244
215,6145764
215,3874328
216,9223517
216,3060050
217,7793629
217,7788077
218,1158279
218,2821421
219,2436491
219,3849582
220,9708235
220,4168708
221,1062137
221,6051914
222,4228475
222,9158878
223,9961129
223,4324623
224,6797081
224,9088809
225,2650167
225,3811161
226,7938835
226,9752751
227,8772059
227,2848983
228,5690521
228,2192429
229,4613911
229,8819604
230,4676996
230,3246751
231,4641650
231,6983405
232,7550303
232,2435642
233,3661321
233,8331249
234,5567017
234,7892470
235,7068123
235,8443176
236,3220448
236,4132121
237,5572250
237,1435952
238,7108892
238,2399078
239,7949997
239,1754249
240,3075627
240,7585596
241,7041709
241,7826904
242,5383451
242,9484906
243,3651850
243,8445733
244,2801030
244,9347965
245,1659706
245,7464387
246,1112869
246,2872805
247,3007393
247,4026726
248,7443610
248,5198504
249,6279669
249,5134827
250,2173371
250,8203694
251,5878547
251,8763090
252,3287796
252,1364097
253,2660031
253,5706229
254,4518246
254,1577684
255,2886016
255,2578720
256,3527736
256,7929799
257,2816329
257,5092666
258,2782446
258,3627503
259,6241791
259,6476584
260,5133054
260,9192464
261,1460133
261,3812230
262,6569598
262,3911905
263,1755106
263,4718582
264,2734399
264,6697128
265,4365977
265,4849378
266,7883053
266,7588742
267,3833481
267,7465593
268,4309857
268,1694398
269,4725671
269,8324650
270,2055153
270,9008611
271,6830770
271,7648068
272,8702560
272,9651393
273,3324418
273,7496858
274,9988313
274,6935737
275,4095916
275,3163997
276,4930818
276,4160960
277,3946342
277,3852053
278,3302568
278,9118959
279,2981044
279,7147094
280,4812339
280,2153225
281,4816316
281,9520103
282,1097436
282,3251679
283,8378770
283,4185199
284,2777788
284,8880363
285,3995221
285,9312085
286,4398756
286,2473415
287,5470246
287,8733112
288,9805541
288,7408890
289,4987042
289,6509028
290,1444802
290,2616969
291,6401095
291,9388473
292,7474000
292,3058196
293,4921895
293,9540350
294,1636024
294,1702523
295,8787615
295,7551900
296,8885714
296,5599780
297,8632091
297,2603387
298,6414293
298,6488397
299,5374750
299,6280892
300,2039665
300,6856920
301,4752988
301,5953508
302,5362429
302,2910350
303,3622446
303,1436505
304,4924126
304,1819683
305,2935507
305,5685446
306,9000887
306,2429379
307,4500620
307,1865378
308,8524051
308,4984562
309,1224765
309,9669957
310,7952435
310,4399894
311,3584081
311,6612456
312,4971039
312,4711258
313,5440554
313,1816027
314,8663700
314,8656308
315,7931913
315,8541316
316,8084636
316,9931608
317,4663064
317,5926858
318,4422255
318,6492554
319,7436565
319,9692646
320,2486673
320,2165648
321,3282294
321,5637892
322,6929177
322,8831960
323,2501103
323,4738511
324,9513387
324,8325482
325,2375892
325,8365083
326,1917174
326,2145445
327,5580256
327,8884770
328,9470025
328,4380449
329,8309636
329,9479314
330,9102486
330,5039316
331,4171357
331,9417602
332,7435812
332,8408061
333,2032187
333,9934719
334,7652224
334,1157700
335,4300258
335,6758753
336,3982521
336,6215278
337,9230845
337,9169473
338,7689446
338,1500967
339,4501200
339,2813457
340,3362879
340,6566722
341,2306063
341,9172559
342,6901445
342,3513261
343,4078684
343,2451075
344,1727785
344,1931909
345,7727849
345,3995098
346,1105914
346,8274333
347,7918399
347,4037158
348,8259328
348,3085948
349,7187185
349,8074080
350,6164703
350,9622538
351,4986844
351,2217127
352,7457964
352,1552298
353,5800737
353,4225149
354,5330010
354,3923244
355,9088966
355,4010499
356,6403563
356,1294044
357,2881554
357,1442318
