household_id,address
1,"SANDNES, Mindeveien 33.0"
2,"STAVANGER, Gjerdestien 7.0"
3,"STAVANGER, Madlaveien 16.0"
4,"SANDNES, Frøyerhagen 11.0"
5,"SANDNES, Smeaheiveien 25.0"
6,"STAVANGER, Olderveien 9.0"
7,"STAVANGER, Husabøåkeren 4.0"
8,"STAVANGER, Gjerdestien 6.0"
9,"SANDNES, Øygardsveien 36.0"
10,"STAVANGER, T. J. Storækres gate 14.0"
11,"STAVANGER, Tjensvollveien 7.0"
12,"STAVANGER, Frodes gate 18.0"
13,"STAVANGER, Bjergaveien 38.0"
14,"SANDNES, Monsamyrveien 2.0"
15,"SANDNES, Sørhallet 11.0"
16,"STAVANGER, Boganesveien 1.0"
17,"STAVANGER, Dr. Eyes gate 18.0"
18,"STAVANGER, Skeieneset 42.0"
19,"STAVANGER, Ragbakken 4.0"
20,"SANDNES, Torggata 1.0"
21,"SANDNES, Brattebøveien 110.0"
22,"SANDNES, Litle Ådnøy 56.0"
23,"SANDNES, Grovene 12.0"
24,"STAVANGER, Vestliveien 1.0"
25,"SANDNES, Sandnesveien 303.0"
26,"STAVANGER, Steinlia 13.0"
27,"SANDNES, Gullringstien 1.0"
28,"SANDNES, Midtbergveien 1.0"
29,"STAVANGER, Otto Olsens gate 21.0"
30,"STAVANGER, Håneset 10.0"
31,"SANDNES, Nadabergstubben 19.0"
32,"SANDNES, Havnegata 3.0"
33,"STAVANGER, Duganekroken 19.0"
34,"SANDNES, Myrveien 13.0"
35,"SANDNES, Lundegeilen 56.0"
36,"STAVANGER, Finnøyvegen 472.0"
37,"SANDNES, Are Frodes vei 7.0"
38,"SANDNES, Hafrakveien 1.0"
39,"SANDNES, Eskemyrveien 2.0"
40,"SANDNES, Holbergs gate 35.0"
41,"SANDNES, Haualandmarka 15.0"
42,"STAVANGER, Østre Ring 13.0"
43,"STAVANGER, Statfjordsvingene 21.0"
44,"STAVANGER, Oscar Mathisens gate 11.0"
45,"STAVANGER, Sotes gate 8.0"
46,"SANDNES, Torvholsteigen 21.0"
47,"STAVANGER, Eskelandsgeilen 4.0"
48,"SANDNES, Dreggjavikveien 16.0"
49,"SANDNES, Vindhagen 5.0"
50,"SANDNES, Skytebaneveien 20.0"
51,"SANDNES, Mindeveien 19.0"
52,"STAVANGER, Rektor Oldens gate 13.0"
53,"SANDNES, Roviksveien 60.0"
54,"STAVANGER, Lyder Sagens gate 15.0"
55,"STAVANGER, Brattåsveien 10.0"
56,"STAVANGER, Jåttåvågveien 22.0"
57,"STAVANGER, Hemmestveittunet 12.0"
58,"STAVANGER, Mikkelsmessveien 10.0"
59,"STAVANGER, Mor Åses vei 16.0"
60,"SANDNES, Sandnesveien 180.0"
61,"SANDNES, Fredrik Stangs gate 17.0"
62,"STAVANGER, Torvberget 22.0"
63,"STAVANGER, Gamle Godesetveien 14.0"
64,"STAVANGER, Lars Hertervigs gate 3.0"
65,"STAVANGER, Sandnesgata 43.0"
66,"SANDNES, Ståle Kyllingstads vei 8.0"
67,"STAVANGER, Engelsminnegata 16.0"
68,"SANDNES, Kjeldebergvegen 14.0"
69,"STAVANGER, Grasmyrveien 21.0"
70,"STAVANGER, Magnus Karlsons gate 15.0"
71,"STAVANGER, Riiser-Larsens gate 17.0"
72,"SANDNES, Øvreveien 19.0"
73,"SANDNES, Sandsgårdveien 7.0"
74,"STAVANGER, Ivar Ballangruds gate 8.0"
75,"STAVANGER, Hamneveien 18.0"
76,"STAVANGER, Rygjaveien 21.0"
77,"STAVANGER, Jåttåvågveien 20.0"
78,"STAVANGER, Vikedalsgata 35.0"
79,"SANDNES, Gamle Ålgårdsveien 136.0"
80,"STAVANGER, Terje Vigens vei 3.0"
81,"STAVANGER, Stokkaveien 57.0"
82,"SANDNES, Akselhagen 36.0"
83,"STAVANGER, Verven 36.0"
84,"SANDNES, Litagoveien 27.0"
85,"SANDNES, Enevaldsveien 17.0"
86,"SANDNES, Esseveien 10.0"
87,"STAVANGER, Nedre Storaberget 111.0"
88,"STAVANGER, Grågåsveien 42.0"
89,"STAVANGER, Rollaugs gate 38.0"
90,"STAVANGER, Nedre Holmegate 9.0"
91,"SANDNES, Roald Amundsens gate 28.0"
92,"STAVANGER, Ravperleveien 3.0"
93,"SANDNES, Sandved terrasse 3.0"
94,"STAVANGER, Nordenskiølds gate 14.0"
95,"SANDNES, Luragata 34.0"
96,"SANDNES, Ryfylkeveien 724.0"
97,"SANDNES, Bruhagen 4.0"
98,"SANDNES, Lundehaugen 33.0"
99,"STAVANGER, Sandsgata 52.0"
100,"STAVANGER, Langøy 40.0"
101,"STAVANGER, Langflåtveien 55.0"
102,"STAVANGER, Ogmund Finnsons vei 1.0"
103,"STAVANGER, Grasholmstubben 2.0"
104,"STAVANGER, Øvre Sjøveien 34.0"
105,"SANDNES, Leitesvingen 4.0"
106,"STAVANGER, Ugleveien 13.0"
107,"SANDNES, Dyre Vaas vei 9.0"
108,"SANDNES, Torvmyrå 14.0"
109,"STAVANGER, Gauselkneiken 16.0"
110,"STAVANGER, Oscar Omdals gate 6.0"
111,"SANDNES, Ryfylkeveien 543.0"
112,"STAVANGER, Nesahaugen 49.0"
113,"STAVANGER, Muslingveien 52.0"
114,"STAVANGER, Hunsteinstien 42.0"
115,"STAVANGER, Emmausveien 1.0"
116,"STAVANGER, Glassperleveien 1.0"
117,"STAVANGER, Stoggdalsveien 22.0"
118,"STAVANGER, Svaneveien 50.0"
119,"STAVANGER, Håvasteinhagane 32.0"
120,"SANDNES, Varatunveien 35.0"
121,"STAVANGER, Særimners vei 9.0"
122,"SANDNES, Gamle Postvei 13.0"
123,"STAVANGER, Springarstien 22.0"
124,"STAVANGER, Hillevåg Terrasse 11.0"
125,"STAVANGER, Storehagen 3.0"
126,"STAVANGER, Ordfører Scheies gate 11.0"
127,"SANDNES, Jonashagen 10.0"
128,"SANDNES, Svarthyllveien 3.0"
129,"STAVANGER, Verven 16.0"
130,"STAVANGER, Rygjabakken 8.0"
131,"STAVANGER, Grønnliveien 4.0"
132,"STAVANGER, Håsteinsgata 28.0"
133,"SANDNES, Følhusbakken 11.0"
134,"STAVANGER, Vestvollveien 16.0"
135,"STAVANGER, Skeieneset 61.0"
136,"SANDNES, Amboltveien 140.0"
137,"STAVANGER, Hagatunet 20.0"
138,"STAVANGER, Jernalderveien 57.0"
139,"STAVANGER, St. Olavs gate 11.0"
140,"STAVANGER, Bautaveien 45.0"
141,"STAVANGER, Øvre Strandgate 39.0"
142,"STAVANGER, Ragnhilds gate 47.0"
143,"SANDNES, Tjessheimveien 15.0"
144,"STAVANGER, Dusavikhagen 27.0"
145,"STAVANGER, Valheimveien 35.0"
146,"STAVANGER, Frida Hansens vei 3.0"
147,"STAVANGER, Ospeberget 23.0"
148,"STAVANGER, Stråtveittunet 5.0"
149,"SANDNES, Gjesdalveien 2.0"
150,"SANDNES, Krambuneset 104.0"
151,"STAVANGER, Alkeveien 34.0"
152,"SANDNES, Kydnaveien 46.0"
153,"STAVANGER, Storaberget Terrasse 109.0"
154,"STAVANGER, Asalkroken 13.0"
155,"STAVANGER, Sørflåtveien 86.0"
156,"SANDNES, Sommerveien 4.0"
157,"STAVANGER, Myrabergjet 8.0"
158,"STAVANGER, Syftesokbakken 30.0"
159,"STAVANGER, Gosenmyrå 13.0"
160,"SANDNES, Rindahagen 4.0"
161,"STAVANGER, Nedre Lyngnesveien 8.0"
162,"SANDNES, Jærveien 48.0"
163,"STAVANGER, Sørflåtveien 84.0"
164,"SANDNES, Hjerteskjellveien 43.0"
165,"STAVANGER, Godesetkroken 49.0"
166,"STAVANGER, Dues vei 40.0"
167,"STAVANGER, Åkragata 3.0"
168,"STAVANGER, Dalsetkroken 16.0"
169,"STAVANGER, St. Olavs gate 9.0"
170,"SANDNES, Holbergs gate 20.0"
171,"SANDNES, Holbergs gate 16.0"
172,"STAVANGER, Gjerdetunet 3.0"
173,"SANDNES, Skjeneholen 1.0"
174,"SANDNES, Hafrakveien 245.0"
175,"SANDNES, Austråttryggen 11.0"
176,"SANDNES, Valldalveien 26.0"
177,"STAVANGER, Valheimveien 132.0"
178,"STAVANGER, Hundvågveien 51.0"
179,"STAVANGER, Flesjåvegen 18.0"
180,"STAVANGER, Vårstien 27.0"
181,"SANDNES, Kobberveien 31.0"
182,"STAVANGER, Tastatunet 38.0"
183,"STAVANGER, Gjerdetunet 5.0"
184,"SANDNES, Krambuneset 126.0"
185,"SANDNES, Hordaveien 7.0"
186,"SANDNES, Sandved terrasse 30.0"
187,"SANDNES, Lunden 2.0"
188,"STAVANGER, Hamneveien 7.0"
189,"SANDNES, Buggeland 47.0"
190,"STAVANGER, Randabergveien 18.0"
191,"STAVANGER, Madlaveien 294.0"
192,"STAVANGER, Eskelandsgeilen 2.0"
193,"SANDNES, Viggo Ullmanns gate 7.0"
194,"STAVANGER, Timoteiveien 17.0"
195,"STAVANGER, Leif Dietrichsons gate 12.0"
196,"STAVANGER, Grashaugveien 4.0"
197,"STAVANGER, Ørelunden 7.0"
198,"STAVANGER, Vardeneset 12.0"
199,"STAVANGER, Tastagata 40.0"
200,"SANDNES, Noredalsveien 217.0"
201,"STAVANGER, Vålandsbakken 14.0"
202,"STAVANGER, Dusavikveien 77.0"
203,"STAVANGER, Vikevågveien 142.0"
204,"SANDNES, Nilsebuvegen 1114.0"
205,"STAVANGER, Botaniker Resvolls gate 62.0"
206,"STAVANGER, Ishallveien 22.0"
207,"STAVANGER, Tvarabergkroken 20.0"
208,"SANDNES, Buggelandsbakken 30.0"
209,"STAVANGER, Myrveien 31.0"
210,"STAVANGER, Bøveien 38.0"
211,"STAVANGER, Midtre Vågen 6.0"
212,"SANDNES, Gangeren 29.0"
213,"STAVANGER, Dusavikveien 77.0"
214,"STAVANGER, Olavskleivå 26.0"
215,"SANDNES, Eskemyrveien 36.0"
216,"SANDNES, Torvmyrveien 11.0"
217,"STAVANGER, Veslebakken 3.0"
218,"STAVANGER, Odins gate 16.0"
219,"SANDNES, Lundadalen 21.0"
220,"SANDNES, Figvedbakken 9.0"
221,"STAVANGER, Midjordgata 17.0"
222,"STAVANGER, Gartnerveien 35.0"
223,"SANDNES, Gravarstunet 7.0"
224,"STAVANGER, Mjughaug Terrasse 6.0"
225,"STAVANGER, Orions gate 35.0"
226,"STAVANGER, Buseneset 9.0"
227,"STAVANGER, Jåttåvågveien 20.0"
228,"SANDNES, Sandvedhagen 1.0"
229,"STAVANGER, Edvard Griegs vei 54.0"
230,"SANDNES, Klåvsteinane 27.0"
231,"STAVANGER, Arbeidergata 12.0"
232,"STAVANGER, Sommerbakken 16.0"
