personal_number,first_name,family_name,age,sex,occupation,activity,partner_personal_number,family_id
9425213,Elizabeth,Svärd,38,Female,True,,1340941,1
9309448,Monica,Novak,77,Female,True,,7520676,2
8784399,Alexandra,Jackson,61,Female,True,,4566245,3
1340941,Austin,Nguyen,53,Male,True,,9425213,4
8111633,Ashley,Moore-White,18,Female,True,Football,7827661,84
7827661,Erling,Ek-Salazar,18,Male,False,,8111633,768
7836108,Linnéa,Larsson-Price,10,Female,True,American football,,172
7520676,Lars,Novak,70,Male,True,,9309448,2
8781308,Tom,Vik,53,Male,True,,7124822,8
4566245,Morten,Jackson,59,Male,True,,8784399,3
4179085,Darren,Rogers-Roth,5,Male,True,,,1084
5585906,Paul,Hauge,79,Male,True,,2364716,10
3793255,Paul,Åkesson,68,Male,True,,6510806,11
8993175,Angela,Evans-Moses,22,Female,False,,7012756,108
7012756,Jonas,Sandvik-Yang,20,Male,True,,8993175,877
6409920,Stine,Harris-Larsen,20,Female,False,,6821018,57
7124822,Autumn,Sæther,31,Female,True,,8781308,15
8149076,Diane,Pettersson,49,Female,True,,1654617,16
1181588,Cecilia,Johansson,43,Female,True,,6979628,17
7675714,Anita,Smith,29,Female,True,,3151776,18
8335427,Nicole,Mcdonald,54,Female,False,,6151404,19
7592365,Taylor,Harrell-Jansson,17,Female,True,American football,,900
1654617,Robert,Haugland,30,Male,True,,8149076,21
4233260,Sara,Augustsson,37,Female,True,,6090850,22
6979628,Lars,Solheim,44,Male,True,,1181588,23
2364716,Sarah,Hauge,64,Female,True,,5585906,10
6821018,Sverre,Gundersen-Larsson,21,Male,True,,6409920,102
3151776,Tommy,Olsson,48,Male,True,,7675714,25
6151404,Eric,Isaksen,53,Male,True,,8335427,26
2273776,Manuel,Axelsson-Vargas,9,Male,True,,,331
9829950,Hanne,Price,54,Female,True,,2779147,28
8364244,James,Eriksson-Shepherd,19,Male,True,,8304438,249
7119554,Sander,Jonasson-Williams,11,Male,True,,,489
1987519,Roar,Jacobsen,77,Male,True,,9092224,31
3112072,Roger,Lindholm,79,Male,True,,5410512,32
6510806,Ylva,Åkesson,66,Female,True,,3793255,11
6090850,Stig,Jenssen,31,Male,True,,4233260,33
9071253,Sofie,Flores-Johansson,14,Female,True,American football,,148
4056520,Mark,Strand,58,Male,True,,9309009,35
6279396,Samantha,Hagen,43,Female,True,,8292580,36
4180610,Robin,Marsh-Williams,16,Male,True,Volleyball,,857
4168100,Tiffany,Berg,47,Female,True,,4166986,38
9725553,Eva,Gomez-Jonsson,7,Female,True,Basketball,,527
4256978,Benjamin,Thompson,74,Male,True,,1684402,40
2779147,Timothy,Berge,26,Male,True,,9829950,41
6658170,Calvin,Ellingsen,57,Male,True,,7405182,42
5625183,Charlotte,Ellis,32,Female,True,,5532987,43
5571319,Monica,Gustafsson,49,Female,True,,1128745,44
8292580,Philip,Townsend,50,Male,True,,6279396,45
1416839,Jeff,Delacruz-Nilsson,20,Male,False,,5751268,233
2238815,Erik,Moen,79,Male,True,,7966229,47
9092224,Anna,Jacobsen,64,Female,True,,1987519,31
3970859,Brendan,Diaz,76,Male,True,,2868729,48
